depth	LID	rel_unc
1248	49.33	0.2
1249	49.31	0.2
1250	49.3	0.2
1251	49.29	0.2
1252	49.28	0.2
1253	49.27	0.2
1254	49.26	0.2
1255	49.25	0.2
1256	49.25	0.2
1257	49.25	0.2
1258	49.25	0.2
1259	49.24	0.2
1260	49.25	0.2
1261	49.25	0.2
1262	49.25	0.2
1263	49.25	0.2
1264	49.25	0.2
1265	49.26	0.2
1266	49.26	0.2
1267	49.27	0.2
1268	49.27	0.2
1269	49.27	0.2
1270	49.28	0.2
1271	49.28	0.2
1272	49.29	0.2
1273	49.29	0.2
1274	49.3	0.2
1275	49.3	0.2
1276	49.31	0.2
1277	49.32	0.2
1278	49.32	0.2
1279	49.33	0.2
1280	49.34	0.2
1281	49.34	0.2
1282	49.35	0.2
1283	49.36	0.2
1284	49.36	0.2
1285	49.37	0.2
1286	49.38	0.2
1287	49.38	0.2
1288	49.39	0.2
1289	49.4	0.2
1290	49.41	0.2
1291	49.42	0.2
1292	49.43	0.2
1293	49.44	0.2
1294	49.45	0.2
1295	49.46	0.2
1296	49.47	0.2
1297	49.48	0.2
1298	49.49	0.2
1299	49.51	0.2
1300	49.52	0.2
1301	49.54	0.2
1302	49.56	0.2
1303	49.57	0.2
1304	49.59	0.2
1305	49.61	0.2
1306	49.63	0.2
1307	49.65	0.2
1308	49.67	0.2
1309	49.69	0.2
1310	49.71	0.2
1311	49.72	0.2
1312	49.75	0.2
1313	49.77	0.2
1314	49.79	0.2
1315	49.81	0.2
1316	49.83	0.2
1317	49.85	0.2
1318	49.87	0.2
1319	49.89	0.2
1320	49.92	0.2
1321	49.94	0.2
1322	49.96	0.2
1323	49.98	0.2
1324	50.0	0.2
1325	50.01	0.2
1326	50.02	0.2
1327	50.03	0.2
1328	50.04	0.2
1329	50.04	0.2
1330	50.05	0.2
1331	50.05	0.2
1332	50.05	0.2
1333	50.05	0.2
1334	50.04	0.2
1335	50.03	0.2
1336	50.02	0.2
1337	50.01	0.2
1338	49.99	0.2
1339	49.98	0.2
1340	49.96	0.2
1341	49.95	0.2
1342	49.93	0.2
1343	49.91	0.2
1344	49.9	0.2
1345	49.88	0.2
1346	49.86	0.2
1347	49.85	0.2
1348	49.83	0.2
1349	49.82	0.2
1350	49.81	0.2
1351	49.79	0.2
1352	49.78	0.2
1353	49.77	0.2
1354	49.76	0.2
1355	49.76	0.2
1356	49.75	0.2
1357	49.74	0.2
1358	49.74	0.2
1359	49.73	0.2
1360	49.73	0.2
1361	49.73	0.2
1362	49.73	0.2
1363	49.73	0.2
1364	49.73	0.2
1365	49.73	0.2
1366	49.73	0.2
1367	49.73	0.2
1368	49.74	0.2
1369	49.74	0.2
1370	49.74	0.2
1371	49.75	0.2
1372	49.76	0.2
1373	49.76	0.2
1374	49.77	0.2
1375	49.78	0.2
