#Depth	#Thinning	#error
1613.7	0.4008	0.05
1615.35	0.4007	0.05
1617	0.4002	0.05
1618.65	0.4001	0.05
1620.3	0.3995	0.05
1621.95	0.3986	0.05
1623.6	0.3986	0.05
1625.25	0.3986	0.05
1626.9	0.3982	0.05
1628.55	0.3976	0.05
1630.2	0.3974	0.05
1631.85	0.3973	0.05
1633.5	0.3972	0.05
1635.15	0.3969	0.05
1636.8	0.3964	0.05
1638.45	0.396	0.05
1640.1	0.3954	0.05
1641.75	0.3952	0.05
1643.4	0.3948	0.05
1645.05	0.3943	0.05
1646.7	0.3938	0.05
1648.35	0.3931	0.05
1650	0.3931	0.05
1651.65	0.3932	0.05
1653.3	0.3931	0.05
1654.95	0.3928	0.05
1656.6	0.3924	0.05
1658.25	0.392	0.05
1659.9	0.3915	0.05
1661.55	0.3907	0.05
1663.2	0.3899	0.05
1664.85	0.3892	0.05
1666.5	0.3886	0.05
1668.15	0.3881	0.05
1669.8	0.3876	0.05
1671.45	0.3869	0.05
1673.1	0.386	0.05
1674.75	0.3852	0.05
1676.4	0.3841	0.05
1678.05	0.3831	0.05
1679.7	0.3821	0.05
1681.35	0.3813	0.05
1683	0.3803	0.05
1684.65	0.3793	0.05
1686.3	0.3785	0.05
1687.95	0.378	0.05
1689.6	0.3776	0.05
1691.25	0.3772	0.05
1692.9	0.3768	0.05
1694.55	0.3763	0.05
1696.2	0.3757	0.05
1697.85	0.3753	0.05
1699.5	0.3749	0.05
1701.15	0.3743	0.05
1702.8	0.3738	0.05
1704.45	0.3733	0.05
1706.1	0.373	0.05
1707.75	0.3728	0.05
1709.4	0.3726	0.05
1711.05	0.3727	0.05
1712.7	0.3726	0.05
1714.35	0.3725	0.05
1716	0.3726	0.05
1717.65	0.3725	0.05
1719.3	0.3724	0.05
1720.95	0.3729	0.05
1722.6	0.3736	0.05
1724.25	0.3742	0.05
1725.9	0.375	0.05
1727.55	0.3758	0.05
1729.2	0.3767	0.05
1730.85	0.3775	0.05
1732.5	0.3784	0.05
1734.15	0.3793	0.05
