depth,dep
171.76,20.38
171.78,19.98
171.8,20.16
171.82,19.5
171.84,19.0
171.86,20.35
171.88,20.3
171.9,21.35
171.92,21.15
171.94,21.23
171.96,22.11
171.98,23.66
172.0,24.82
172.02,26.51
172.04,27.23
172.06,27.64
172.09,20.03
172.11,25.26
172.13,24.3
172.15,21.27
172.17,20.31
172.19,22.05
172.21,20.35
172.23,19.67
172.25,20.54
172.27,20.86
172.29,22.35
172.31,26.08
172.33,25.12
172.35,24.22
172.37,23.27
172.39,23.28
172.41,22.31
172.43,20.65
172.45,18.85
172.47,19.45
172.49,19.5
172.51,21.22
172.53,20.5
172.55,19.12
172.57,17.09
172.59,17.64
172.61,17.02
172.63,17.52
172.65,19.5
172.67,20.2
172.69,18.76
172.71,20.21
172.73,22.2
172.75,22.1
172.77,20.28
172.79,19.81
172.81,20.09
172.83,19.82
172.85,21.0
172.87,19.67
172.89,18.93
172.91,20.22
