depth,ecm2
951.5,1.5743
952.05,1.5227
952.6,1.2372
953.15,1.6057
953.7,2.2702
954.25,2.3318
954.8,1.8536
955.35,1.7968
955.9,1.7709
956.45,2.2785
957.0,2.0139
957.55,2.1066
958.1,2.4639
958.65,2.7618
959.2,2.6238
959.75,2.1418
960.3,2.5407
960.85,2.869
961.4,3.071
961.95,2.882
962.5,3.2753
963.05,3.3665
963.6,2.7117
964.15,2.3579
964.7,2.3926
965.25,2.2103
965.8,3.3555
966.35,1.8823
966.9,1.8608
967.45,1.6757
968.0,1.8502
968.55,2.0079
969.1,2.5615
969.65,2.0771
970.2,1.4678
970.75,2.1957
971.3,2.6113
971.85,3.0138
972.4,2.3264
972.95,2.6147
973.5,2.2819
974.05,2.174
974.6,1.4666
975.15,1.6082
975.7,1.9261
976.25,1.8195
976.8,1.9633
977.35,2.1292
977.9,2.2181
978.45,1.5567
979.0,1.6967
979.55,1.5086
980.1,1.264
980.65,1.8324
981.2,2.2034
981.75,2.2072
982.3,2.1124
982.85,1.7145
983.4,1.8388
983.95,1.8535
984.5,2.1683
985.05,2.0377
985.6,1.8727
986.15,2.0023
986.7,1.2534
987.25,1.9565
987.8,1.9195
988.35,2.3846
988.9,1.5325
989.45,1.7054
990.0,1.8183
990.55,2.128
991.1,2.0129
991.65,1.4459
992.2,1.6061
992.75,1.627
993.3,1.9652
993.85,1.8156
994.4,1.5563
994.95,0.9593
995.5,1.6001
996.05,1.7523
996.6,1.7872
997.15,2.2039
997.7,2.0394
998.25,2.0095
998.8,1.6789
999.35,1.3815
999.9,1.8061
1000.45,2.0188
1001.0,1.909
1001.55,1.9822
1002.1,1.4044
1002.65,1.3323
1003.2,1.6931
1003.75,1.7636
1004.3,1.8001
1004.85,1.9026
1005.4,1.6913
1005.95,1.9521
1006.5,1.6658
1007.05,1.7709
1007.6,3.1694
1008.15,1.8741
1008.7,1.6651
1009.25,1.8054
1010.35,2.3092
1010.9,1.584
1011.45,2.0629
1012.55,1.685
1013.1,1.9622
1013.65,1.5474
1014.2,1.7628
