depth,sulfate
95.3678,53.42
95.4133,69.0
95.4587,102.48
95.5042,89.64
95.5496,120.34
95.5951,101.48
95.6405,105.84
95.686,103.99
95.7413,90.91
95.7839,130.8
95.8264,121.0
95.8689,113.28
95.9115,98.7
95.954,106.5
95.9965,137.87
96.0391,205.97
96.0816,173.3
96.1241,138.45
96.1766,77.06
96.2192,88.04
96.2617,97.92
96.3042,117.58
96.3468,81.51
96.3963,72.38
96.4388,106.76
96.4814,120.74
96.5239,90.42
96.5664,108.61
96.6089,100.4
96.6515,86.59
96.694,86.51
96.7365,87.22
96.7791,76.65
96.8208,93.17
96.8711,88.49
96.9213,90.31
96.9715,109.9
97.1222,497.3
97.1724,319.93
97.2226,192.93
97.2729,125.87
97.3231,107.57
97.3733,109.05
97.4236,98.18
97.4738,103.77
97.524,135.39
97.5743,77.77
97.6245,70.2
97.6747,94.88
97.744,93.58
97.7942,91.72
97.8444,101.77
97.9202,106.61
97.9689,110.96
98.0176,114.31
98.0662,123.67
98.1149,105.43
98.1635,91.61
98.2122,98.7
98.2608,103.62
98.3095,147.23
98.4068,142.48
98.4605,108.46
98.5091,96.14
98.5578,89.27
98.6065,98.14
98.6551,118.1
98.7038,138.23
98.7524,175.66
98.8011,136.23
98.8627,115.64
98.9114,120.52
98.96,131.89
99.0962,117.86
99.1355,139.21
99.1787,140.04
99.2179,96.06
99.2572,96.23
99.2964,84.51
99.3357,87.68
99.3749,85.6
99.4142,72.54
99.4534,94.64
99.4926,63.75
99.5319,72.98
99.5711,63.98
99.6104,70.65
99.6496,69.76
99.6889,84.12
99.7281,87.29
99.7673,97.73
99.8066,67.51
99.8458,64.51
99.8851,109.69
99.9243,104.8
99.9636,110.63
100.003,123.71
100.042,155.76
100.081,132.9
100.152,76.79
100.187,51.99
100.222,90.45
100.258,93.43
100.345,102.19
100.381,71.66
100.416,63.58
100.451,71.04
100.487,93.43
100.522,99.11
100.558,101.63
100.593,79.55
100.628,94.47
100.664,79.33
100.699,89.54
100.735,72.45
100.77,80.59
100.805,81.81
100.841,84.17
100.876,81.47
100.912,93.47
100.947,85.56
100.982,93.99
101.018,89.15
101.053,91.53
101.089,77.93
101.124,83.73
101.159,81.95
101.24,56.6
101.279,76.7
